Phylum,mockname,Abundance
Actinobacteria,gutmock,1818.0 (0.76%)
Bacteroidetes,gutmock,86812.0 (36.40%)
Euryarchaeota,gutmock,159.0 (0.07%)
Firmicutes,gutmock,139882.0 (58.65%)
Fusobacteria,gutmock,315.0 (0.13%)
Lentisphaerae,gutmock,265.0 (0.11%)
Proteobacteria,gutmock,5954.0 (2.50%)
Synergistetes,gutmock,229.0 (0.10%)
Tenericutes,gutmock,52.0 (0.02%)
Verrucomicrobia,gutmock,3030.0 (1.27%)
Acidobacteria,mockrobiota,10.0 (0.22%)
Actinobacteria,mockrobiota,146.0 (3.17%)
Aquificae,mockrobiota,44.0 (0.96%)
Bacteroidetes,mockrobiota,976.0 (21.19%)
Chlorobi,mockrobiota,55.0 (1.19%)
Chloroflexi,mockrobiota,90.0 (1.95%)
Crenarchaeota,mockrobiota,30.0 (0.65%)
Deinococcus-Thermus,mockrobiota,119.0 (2.58%)
Dictyoglomi,mockrobiota,10.0 (0.22%)
Euryarchaeota,mockrobiota,81.0 (1.76%)
Firmicutes,mockrobiota,1552.0 (33.70%)
Fusobacteria,mockrobiota,99.0 (2.15%)
Gemmatimonadetes,mockrobiota,35.0 (0.76%)
Nanoarchaeota,mockrobiota,4.0 (0.09%)
Planctomycetes,mockrobiota,16.0 (0.35%)
Proteobacteria,mockrobiota,1147.0 (24.91%)
Spirochaetes,mockrobiota,112.0 (2.43%)
Thermotogae,mockrobiota,48.0 (1.04%)
Verrucomicrobia,mockrobiota,31.0 (0.67%)
Actinobacteria,vagimock,18326.0 (7.41%)
Bacteroidetes,vagimock,1490.0 (0.60%)
Firmicutes,vagimock,227274.0 (91.94%)
Tenericutes,vagimock,110.0 (0.04%)
