Family,mockname,Abundance
,gutmock,5160.0 (2.16%)
Acholeplasmataceae,gutmock,52.0 (0.02%)
Acidaminococcaceae,gutmock,2512.0 (1.05%)
Actinomycetaceae,gutmock,170.0 (0.07%)
Aerococcaceae,gutmock,20.0 (0.01%)
Akkermansiaceae,gutmock,3030.0 (1.27%)
Atopobiaceae,gutmock,25.0 (0.01%)
Bacteroidaceae,gutmock,48454.0 (20.31%)
Barnesiellaceae,gutmock,1755.0 (0.74%)
Bifidobacteriaceae,gutmock,1114.0 (0.47%)
Campylobacteraceae,gutmock,725.0 (0.30%)
Clostridiaceae,gutmock,1358.0 (0.57%)
Coprobacillaceae,gutmock,675.0 (0.28%)
Coriobacteriaceae,gutmock,144.0 (0.06%)
Corynebacteriaceae,gutmock,45.0 (0.02%)
Desulfovibrionaceae,gutmock,2245.0 (0.94%)
Eggerthellaceae,gutmock,225.0 (0.09%)
Erysipelotrichaceae,gutmock,7615.0 (3.19%)
Eubacteriaceae,gutmock,3667.0 (1.54%)
Eubacteriales_Family_XIII._Incertae_Sedis,gutmock,1024.0 (0.43%)
Fusobacteriaceae,gutmock,315.0 (0.13%)
Kiloniellaceae,gutmock,172.0 (0.07%)
Lachnospiraceae,gutmock,69437.0 (29.11%)
Lactobacillaceae,gutmock,468.0 (0.20%)
Lawsonellaceae,gutmock,75.0 (0.03%)
Methanobacteriaceae,gutmock,159.0 (0.07%)
Micrococcaceae,gutmock,20.0 (0.01%)
Morganellaceae,gutmock,90.0 (0.04%)
Muribaculaceae,gutmock,55.0 (0.02%)
Odoribacteraceae,gutmock,1530.0 (0.64%)
Oscillospiraceae,gutmock,40417.0 (16.95%)
Oxalobacteraceae,gutmock,20.0 (0.01%)
Pasteurellaceae,gutmock,955.0 (0.40%)
Peptococcaceae,gutmock,136.0 (0.06%)
Peptoniphilaceae,gutmock,2348.0 (0.98%)
Peptostreptococcaceae,gutmock,1198.0 (0.50%)
Porphyromonadaceae,gutmock,662.0 (0.28%)
Prevotellaceae,gutmock,14641.0 (6.14%)
RF39,gutmock,725.0 (0.30%)
Rikenellaceae,gutmock,8655.0 (3.63%)
Selenomonadaceae,gutmock,240.0 (0.10%)
Sutterellaceae,gutmock,1747.0 (0.73%)
Synergistaceae,gutmock,229.0 (0.10%)
Tannerellaceae,gutmock,11060.0 (4.64%)
Turicibacteraceae,gutmock,185.0 (0.08%)
Veillonellaceae,gutmock,2697.0 (1.13%)
Victivallaceae,gutmock,265.0 (0.11%)
,mockrobiota,30.0 (0.65%)
Acidobacteriaceae,mockrobiota,10.0 (0.22%)
Actinomycetaceae,mockrobiota,25.0 (0.54%)
Akkermansiaceae,mockrobiota,31.0 (0.67%)
Alcaligenaceae,mockrobiota,10.0 (0.22%)
Anaerolineaceae,mockrobiota,20.0 (0.43%)
Archaeoglobaceae,mockrobiota,15.0 (0.33%)
Bacillaceae,mockrobiota,141.0 (3.06%)
Bacteroidaceae,mockrobiota,662.0 (14.38%)
Barnesiellaceae,mockrobiota,24.0 (0.52%)
Burkholderiaceae,mockrobiota,20.0 (0.43%)
Chlorobiaceae,mockrobiota,55.0 (1.19%)
Chloroflexaceae,mockrobiota,30.0 (0.65%)
Clostridiaceae,mockrobiota,525.0 (11.40%)
Deinococcaceae,mockrobiota,107.0 (2.32%)
Desulfitobacteriaceae,mockrobiota,20.0 (0.43%)
Desulfovibrionaceae,mockrobiota,80.0 (1.74%)
Desulfurococcaceae,mockrobiota,9.0 (0.20%)
Dictyoglomaceae,mockrobiota,10.0 (0.22%)
Enterobacteriaceae,mockrobiota,263.0 (5.71%)
Enterococcaceae,mockrobiota,121.0 (2.63%)
Erysipelotrichaceae,mockrobiota,12.0 (0.26%)
Fusobacteriaceae,mockrobiota,99.0 (2.15%)
Gemmatimonadaceae,mockrobiota,35.0 (0.76%)
Helicobacteraceae,mockrobiota,30.0 (0.65%)
Herpetosiphonaceae,mockrobiota,40.0 (0.87%)
Hydrogenothermaceae,mockrobiota,44.0 (0.96%)
Lachnospiraceae,mockrobiota,78.0 (1.69%)
Lactobacillaceae,mockrobiota,36.0 (0.78%)
Listeriaceae,mockrobiota,119.0 (2.58%)
Methanobacteriaceae,mockrobiota,21.0 (0.46%)
Methanocaldococcaceae,mockrobiota,12.0 (0.26%)
Methanococcaceae,mockrobiota,21.0 (0.46%)
Micromonosporaceae,mockrobiota,35.0 (0.76%)
Moraxellaceae,mockrobiota,41.0 (0.89%)
Nanoarchaeaceae,mockrobiota,4.0 (0.09%)
Neisseriaceae,mockrobiota,31.0 (0.67%)
Nitrobacteraceae,mockrobiota,15.0 (0.33%)
Nitrosomonadaceae,mockrobiota,35.0 (0.76%)
Pectobacteriaceae,mockrobiota,115.0 (2.50%)
Pirellulaceae,mockrobiota,16.0 (0.35%)
Porphyromonadaceae,mockrobiota,90.0 (1.95%)
Prevotellaceae,mockrobiota,80.0 (1.74%)
Propionibacteriaceae,mockrobiota,86.0 (1.87%)
Pseudomonadaceae,mockrobiota,95.0 (2.06%)
Rhodobacteraceae,mockrobiota,72.0 (1.56%)
Roseobacteraceae,mockrobiota,20.0 (0.43%)
Shewanellaceae,mockrobiota,290.0 (6.30%)
Staphylococcaceae,mockrobiota,299.0 (6.49%)
Streptococcaceae,mockrobiota,131.0 (2.84%)
Sulfolobaceae,mockrobiota,6.0 (0.13%)
Tannerellaceae,mockrobiota,120.0 (2.61%)
Thermaceae,mockrobiota,12.0 (0.26%)
Thermoanaerobacterales_Family_III._Incertae_Sedis,mockrobiota,10.0 (0.22%)
Thermococcaceae,mockrobiota,12.0 (0.26%)
Thermoproteaceae,mockrobiota,15.0 (0.33%)
Thermotogaceae,mockrobiota,48.0 (1.04%)
Treponemataceae,mockrobiota,112.0 (2.43%)
Zymomonadaceae,mockrobiota,20.0 (0.43%)
[Clostridium]_methylpentosum_group,mockrobiota,40.0 (0.87%)
,vagimock,620.0 (0.25%)
Actinomycetaceae,vagimock,2210.0 (0.89%)
Aerococcaceae,vagimock,80.0 (0.03%)
Bacteroidaceae,vagimock,95.0 (0.04%)
Bifidobacteriaceae,vagimock,16116.0 (6.52%)
Clostridiaceae,vagimock,55.0 (0.02%)
Eubacteriaceae,vagimock,28.0 (0.01%)
Lachnospiraceae,vagimock,69.0 (0.03%)
Lactobacillaceae,vagimock,225465.0 (91.21%)
Metamycoplasmataceae,vagimock,20.0 (0.01%)
Mycoplasmataceae,vagimock,90.0 (0.04%)
Oscillospiraceae,vagimock,185.0 (0.07%)
Peptoniphilaceae,vagimock,91.0 (0.04%)
Porphyromonadaceae,vagimock,20.0 (0.01%)
Prevotellaceae,vagimock,1360.0 (0.55%)
RF39,vagimock,25.0 (0.01%)
Streptococcaceae,vagimock,100.0 (0.04%)
Tannerellaceae,vagimock,15.0 (0.01%)
Veillonellaceae,vagimock,556.0 (0.22%)
