Species,mockname,Abundance
Acidaminococcus_fermentans,gutmock,95.0 (0.04%)
Acidaminococcus_intestini,gutmock,1240.0 (0.52%)
Acutalibacter_muris,gutmock,15.0 (0.01%)
Aestuariispira_insulae,gutmock,172.0 (0.07%)
Akkermansia_muciniphila,gutmock,3030.0 (1.27%)
Alistipes_communis,gutmock,780.0 (0.33%)
Alistipes_finegoldii,gutmock,1005.0 (0.42%)
Alistipes_ihumii,gutmock,480.0 (0.20%)
Alistipes_indistinctus,gutmock,125.0 (0.05%)
Alistipes_inops,gutmock,630.0 (0.26%)
Alistipes_onderdonkii,gutmock,4060.0 (1.70%)
Alistipes_putredinis,gutmock,775.0 (0.32%)
Alistipes_shahii,gutmock,740.0 (0.31%)
Allisonella_histaminiformans,gutmock,105.0 (0.04%)
Alloprevotella_rava,gutmock,40.0 (0.02%)
Alloscardovia_omnicolens,gutmock,64.0 (0.03%)
Alteracholeplasma_parvum,gutmock,52.0 (0.02%)
Alterileibacterium_massiliense,gutmock,175.0 (0.07%)
Anaerobutyricum_soehngenii,gutmock,145.0 (0.06%)
Anaerococcus_obesiensis,gutmock,16.0 (0.01%)
Anaerococcus_prevotii,gutmock,105.0 (0.04%)
Anaerococcus_provencensis,gutmock,20.0 (0.01%)
Anaerococcus_vaginalis,gutmock,1010.0 (0.42%)
Anaeroglobus_geminatus,gutmock,44.0 (0.02%)
Anaeromassilibacillus_senegalensis,gutmock,400.0 (0.17%)
Anaerosporobacter_mobilis,gutmock,304.0 (0.13%)
Anaerostipes_caccae,gutmock,135.0 (0.06%)
Anaerostipes_hadrus,gutmock,4675.0 (1.96%)
Anaerotignum_aminivorans,gutmock,108.0 (0.05%)
Anaerotignum_faecicola,gutmock,640.0 (0.27%)
Anaerotignum_lactatifermentans,gutmock,900.0 (0.38%)
Bacilliculturomica_massiliensis,gutmock,24.0 (0.01%)
Bacteroidales_oral,gutmock,60.0 (0.03%)
Bacteroides_caccae,gutmock,3100.0 (1.30%)
Bacteroides_clarus,gutmock,260.0 (0.11%)
Bacteroides_eggerthii,gutmock,495.0 (0.21%)
Bacteroides_finegoldii,gutmock,190.0 (0.08%)
Bacteroides_intestinalis,gutmock,210.0 (0.09%)
Bacteroides_kribbi,gutmock,1224.0 (0.51%)
Bacteroides_rodentium,gutmock,950.0 (0.40%)
Bacteroides_salyersiae,gutmock,385.0 (0.16%)
Bacteroides_stercoris,gutmock,2900.0 (1.22%)
Bacteroides_xylanisolvens,gutmock,40.0 (0.02%)
Barnesiella_intestinihominis,gutmock,1295.0 (0.54%)
Bifidobacterium_bifidum,gutmock,160.0 (0.07%)
Bifidobacterium_dentium,gutmock,890.0 (0.37%)
Bilophila_wadsworthia,gutmock,1430.0 (0.60%)
Blautia_caecimuris,gutmock,556.0 (0.23%)
Blautia_coccoides,gutmock,40.0 (0.02%)
Blautia_faecis,gutmock,2384.0 (1.00%)
Blautia_glucerasea,gutmock,105.0 (0.04%)
Blautia_hydrogenotrophica,gutmock,100.0 (0.04%)
Blautia_luti,gutmock,2068.0 (0.87%)
Blautia_obeum,gutmock,2325.0 (0.97%)
Blautia_producta,gutmock,130.0 (0.05%)
Blautia_schinkii,gutmock,1460.0 (0.61%)
Blautia_wexlerae,gutmock,9628.0 (4.04%)
Bulleidia_p-1630-c5,gutmock,30.0 (0.01%)
Butyricicoccus_porcorum,gutmock,64.0 (0.03%)
Butyricicoccus_pullicaecorum,gutmock,170.0 (0.07%)
Butyricimonas_faecihominis,gutmock,250.0 (0.10%)
Butyricimonas_paravirosa,gutmock,110.0 (0.05%)
Butyricimonas_virosa,gutmock,225.0 (0.09%)
Butyrivibrio_crossotus,gutmock,140.0 (0.06%)
Caecibacterium_sporoformans,gutmock,48.0 (0.02%)
Campylobacter_concisus,gutmock,40.0 (0.02%)
Campylobacter_gracilis,gutmock,20.0 (0.01%)
