ID	gutmock00	gutmock01	gutmock02	gutmock03	gutmock04
CP000139.4430477.4431986	140.0	136.0	190.0	113.0	186.0
AJ867050.1.1476	147.0	145.0	200.0	123.0	200.0
CP000139.2183533.2185042	128.0	121.0	182.0	100.0	181.0
CP013020.3635869.3637394	116.0	109.0	175.0	95.0	173.0
CP013020.4980576.4982099	125.0	112.0	170.0	88.0	168.0
CP000139.4743140.4744649	117.0	105.0	160.0	89.0	158.0
CP000139	136.0	131.0	188.0	106.0	187.0
CP013020.1499308.1500777	140.0	129.0	190.0	103.0	188.0
CP013020.4642981.4644502	129.0	120.0	173.0	93.0	173.0
ARFY01000032.606843.608350	555.0	58.0	89.0	69.0	41.0
CP022479.1143644.1145162	1.0	3.0	2.0	2.0	1.0
212698	1.0	0.0	3.0	2.0	0.0
4476129	1.0	3.0	4.0	2.0	0.0
549196	1.0	1.0	1.0	2.0	1.0
4437653	1.0	0.0	1.0	0.0	1.0
178234	1.0	0.0	0.0	0.0	1.0
529940	1.0	1.0	0.0	0.0	1.0
364449	1.0	1.0	0.0	3.0	1.0
185491	1.0	1.0	0.0	2.0	1.0
262491	1.0	5.0	3.0	4.0	1.0
74119	1.0	1.0	0.0	1.0	1.0
199397	1.0	0.0	2.0	0.0	1.0
190804	1.0	1.0	2.0	0.0	1.0
512202	1.0	0.0	1.0	0.0	1.0
520430	1.0	3.0	0.0	1.0	1.0
511454	1.0	0.0	2.0	0.0	1.0
531138	1.0	3.0	1.0	3.0	1.0
510689	1.0	3.0	3.0	1.0	1.0
179321	1.0	2.0	3.0	1.0	1.0
518792	1.0	1.0	1.0	0.0	1.0
X85022.1.1499	1.0	0.0	1.0	0.0	1.0
199145	1.0	1.0	1.0	1.0	1.0
175020	1.0	0.0	0.0	0.0	1.0
192401	1.0	0.0	0.0	0.0	0.0
178189	1.0	2.0	0.0	2.0	1.0
163451	1.0	0.0	1.0	0.0	1.0
190060	1.0	3.0	2.0	1.0	1.0
527660	1.0	3.0	1.0	3.0	1.0
521406	1.0	3.0	3.0	2.0	1.0
526396	1.0	1.0	3.0	0.0	1.0
181428	1.0	1.0	1.0	0.0	1.0
178131	1.0	1.0	3.0	1.0	1.0
191041	1.0	0.0	0.0	1.0	1.0
366110	1.0	2.0	2.0	3.0	1.0
217177	1.0	1.0	0.0	1.0	1.0
177775	1.0	3.0	4.0	3.0	1.0
357060	1.0	1.0	0.0	0.0	1.0
521067	1.0	5.0	2.0	4.0	1.0
517507	1.0	2.0	1.0	1.0	1.0
181540	1.0	0.0	2.0	1.0	1.0
CP030777.1562113.1563630	1.0	1.0	1.0	1.0	1.0
528002	1.0	3.0	0.0	0.0	1.0
2976009	1.0	1.0	2.0	2.0	1.0
518619	1.0	0.0	2.0	0.0	1.0
525513	1.0	0.0	0.0	0.0	0.0
185390	1.0	0.0	2.0	1.0	1.0
186451	1.0	3.0	1.0	0.0	1.0
189463	1.0	4.0	1.0	3.0	1.0
206782	1.0	3.0	0.0	1.0	1.0
176134	1.0	4.0	2.0	2.0	1.0
198853	1.0	0.0	1.0	0.0	1.0
183679	1.0	2.0	3.0	2.0	1.0
188646	1.0	0.0	4.0	0.0	1.0
198956	1.0	2.0	0.0	1.0	1.0
531166	1.0	2.0	1.0	1.0	1.0
189708	1.0	2.0	2.0	2.0	1.0
184788	1.0	1.0	0.0	2.0	1.0
518707	1.0	1.0	2.0	1.0	1.0
525266	1.0	2.0	1.0	2.0	1.0
308016	1.0	2.0	0.0	1.0	1.0
204236	1.0	3.0	3.0	3.0	1.0
188126	1.0	0.0	1.0	2.0	0.0
2280602	1.0	0.0	3.0	1.0	1.0
525735	1.0	1.0	3.0	1.0	1.0
185244	1.0	1.0	1.0	2.0	1.0
215767	1.0	1.0	0.0	1.0	1.0
188094	1.0	0.0	0.0	2.0	1.0
522398	1.0	0.0	1.0	1.0	1.0
174024	1.0	1.0	3.0	0.0	1.0
208739	1.0	3.0	4.0	2.0	1.0
195801	1.0	0.0	0.0	0.0	1.0
524095	1.0	3.0	1.0	2.0	1.0
519504	1.0	1.0	1.0	0.0	1.0
185324	1.0	3.0	2.0	1.0	1.0
193761	1.0	1.0	1.0	3.0	1.0
197361	1.0	0.0	0.0	0.0	1.0
354919	1.0	1.0	1.0	1.0	1.0
189984	1.0	2.0	0.0	2.0	1.0
180517	1.0	1.0	0.0	2.0	1.0
183047	1.0	1.0	1.0	0.0	1.0
196125	1.0	0.0	0.0	1.0	0.0
525215	1.0	1.0	1.0	2.0	1.0
178743	1.0	3.0	1.0	2.0	1.0
185645	1.0	2.0	1.0	1.0	1.0
528075	1.0	1.0	1.0	1.0	1.0
362927	1.0	1.0	1.0	1.0	1.0
179078	1.0	1.0	1.0	2.0	1.0
366916	1.0	2.0	1.0	1.0	1.0
195559	1.0	1.0	0.0	2.0	0.0
510844	1.0	0.0	0.0	0.0	1.0
184386	1.0	2.0	0.0	0.0	1.0
169786	1.0	0.0	2.0	0.0	1.0
194258	1.0	1.0	1.0	0.0	1.0
193093	1.0	1.0	3.0	1.0	1.0
193373	1.0	0.0	1.0	0.0	1.0
516647	1.0	2.0	2.0	2.0	0.0
180431	1.0	2.0	3.0	1.0	1.0
192048	1.0	0.0	1.0	0.0	1.0
522486	1.0	1.0	1.0	2.0	1.0
198745	1.0	2.0	0.0	3.0	1.0
527654	1.0	0.0	1.0	0.0	1.0
185878	1.0	1.0	1.0	1.0	1.0
365540	1.0	0.0	1.0	1.0	1.0
186328	1.0	0.0	0.0	2.0	1.0
178701	1.0	4.0	2.0	2.0	1.0
198978	1.0	1.0	0.0	0.0	1.0
158045	1.0	1.0	1.0	1.0	1.0
187439	1.0	2.0	1.0	2.0	1.0
358697	1.0	3.0	3.0	1.0	1.0
177602	1.0	1.0	1.0	0.0	1.0
177878	1.0	1.0	3.0	0.0	1.0
365717	1.0	1.0	1.0	1.0	1.0
175560	1.0	0.0	0.0	0.0	1.0
522506	1.0	3.0	0.0	3.0	1.0
176178	1.0	0.0	0.0	0.0	1.0
527041	1.0	1.0	0.0	1.0	1.0
365214	1.0	1.0	1.0	3.0	1.0
210954	1.0	1.0	1.0	1.0	1.0
187036	1.0	5.0	2.0	4.0	1.0
194933	1.0	0.0	1.0	1.0	0.0
367490	1.0	2.0	0.0	2.0	1.0
361145	1.0	2.0	2.0	2.0	1.0
199251	1.0	0.0	0.0	0.0	1.0
518372	1.0	2.0	1.0	1.0	1.0
181858	1.0	1.0	1.0	1.0	1.0
521191	1.0	1.0	4.0	1.0	1.0
189937	1.0	3.0	1.0	2.0	1.0
CP026548.1450162.1451679	1.0	0.0	1.0	1.0	1.0
515869	1.0	0.0	1.0	0.0	0.0
187365	1.0	1.0	1.0	2.0	1.0
181575	1.0	1.0	2.0	0.0	1.0
516245	1.0	1.0	0.0	1.0	1.0
196536	1.0	2.0	1.0	1.0	0.0
3700151	1.0	1.0	3.0	1.0	1.0
524386	1.0	0.0	1.0	1.0	1.0
532050	1.0	1.0	1.0	1.0	1.0
531618	1.0	0.0	0.0	0.0	1.0
186809	1.0	0.0	1.0	0.0	1.0
173589	1.0	2.0	3.0	2.0	1.0
174032	1.0	0.0	0.0	0.0	1.0
367417	1.0	0.0	1.0	0.0	1.0
193515	1.0	0.0	4.0	0.0	1.0
509902	1.0	0.0	1.0	1.0	1.0
529329	1.0	0.0	3.0	0.0	1.0
367460	1.0	1.0	0.0	0.0	1.0
CP030777.2148185.2149702	1.0	1.0	0.0	2.0	1.0
516458	1.0	0.0	0.0	0.0	1.0
179266	1.0	2.0	2.0	2.0	1.0
369723	1.0	2.0	0.0	3.0	1.0
565644	1.0	0.0	0.0	0.0	1.0
CP023819.2864361.2865879	1.0	1.0	0.0	1.0	1.0
530715	1.0	0.0	1.0	0.0	1.0
182564	1.0	2.0	1.0	3.0	1.0
197159	1.0	0.0	0.0	0.0	1.0
196807	1.0	1.0	1.0	1.0	1.0
346621	1.0	1.0	1.0	1.0	1.0
194986	1.0	0.0	0.0	0.0	1.0
51306	1.0	0.0	1.0	3.0	1.0
180255	1.0	2.0	0.0	2.0	1.0
199430	1.0	1.0	1.0	1.0	1.0
191186	1.0	0.0	0.0	0.0	1.0
518265	1.0	0.0	1.0	0.0	1.0
187090	1.0	3.0	2.0	3.0	1.0
512652	1.0	1.0	2.0	0.0	1.0
526358	1.0	2.0	1.0	2.0	1.0
520807	1.0	1.0	1.0	1.0	1.0
196638	1.0	2.0	0.0	2.0	1.0
848136	1.0	1.0	1.0	1.0	1.0
178935	1.0	2.0	2.0	1.0	1.0
519971	1.0	0.0	0.0	0.0	1.0
190696	1.0	1.0	3.0	1.0	1.0
361722	1.0	1.0	1.0	1.0	0.0
AY169427.1	1.0	3.0	1.0	1.0	1.0
292537	1.0	1.0	1.0	0.0	1.0
315391	1.0	2.0	1.0	1.0	1.0
4428967	1.0	0.0	0.0	0.0	1.0
515141	1.0	1.0	1.0	0.0	1.0
4398128	1.0	1.0	1.0	1.0	0.0
LQ500123.51.1533	1.0	1.0	0.0	1.0	1.0
523155	1.0	1.0	0.0	0.0	1.0
194836	1.0	4.0	3.0	1.0	1.0
354485	1.0	1.0	0.0	2.0	1.0
323557	1.0	0.0	1.0	0.0	1.0
520110	1.0	3.0	2.0	2.0	1.0
529021	1.0	2.0	1.0	0.0	1.0
529462	1.0	1.0	2.0	1.0	1.0
195523	1.0	1.0	1.0	2.0	1.0
527410	1.0	0.0	2.0	0.0	1.0
175317	1.0	0.0	0.0	0.0	1.0
179903	1.0	1.0	0.0	0.0	1.0
199007	1.0	1.0	0.0	1.0	1.0
530524	1.0	1.0	1.0	2.0	0.0
185679	1.0	0.0	1.0	0.0	1.0
509521	1.0	1.0	3.0	1.0	1.0
190471	1.0	1.0	2.0	0.0	1.0
4336406	1.0	1.0	0.0	2.0	1.0
196569	1.0	3.0	2.0	3.0	1.0
530484	1.0	5.0	2.0	4.0	0.0
519312	1.0	1.0	1.0	2.0	0.0
522036	1.0	0.0	0.0	0.0	1.0
206497	1.0	3.0	2.0	3.0	1.0
530327	1.0	1.0	0.0	1.0	1.0
174846	1.0	0.0	2.0	0.0	1.0
189061	1.0	1.0	2.0	0.0	1.0
516818	1.0	0.0	2.0	0.0	1.0
525032	1.0	5.0	4.0	2.0	1.0
185443	1.0	2.0	0.0	3.0	1.0
177918	1.0	0.0	0.0	0.0	0.0
340219	1.0	1.0	1.0	0.0	1.0
525812	1.0	2.0	3.0	0.0	1.0
188683	1.0	3.0	2.0	3.0	1.0
4428969	1.0	1.0	0.0	0.0	1.0
522292	1.0	1.0	0.0	2.0	1.0
359796	1.0	0.0	0.0	1.0	1.0
195250	1.0	0.0	0.0	0.0	1.0
183272	1.0	2.0	0.0	3.0	1.0
528166	1.0	1.0	1.0	1.0	1.0
198985	1.0	4.0	0.0	3.0	1.0
176123	1.0	0.0	0.0	0.0	1.0
189449	1.0	0.0	0.0	1.0	1.0
524400	1.0	1.0	1.0	2.0	1.0
CP030777.2701417.2702934	1.0	2.0	2.0	1.0	1.0
515263	1.0	0.0	0.0	0.0	0.0
520383	1.0	0.0	0.0	1.0	1.0
516959	1.0	0.0	2.0	2.0	1.0
363027	1.0	1.0	1.0	2.0	1.0
274356	1.0	2.0	1.0	0.0	1.0
325310	1.0	1.0	2.0	0.0	1.0
361296	1.0	2.0	0.0	3.0	0.0
189089	1.0	1.0	2.0	1.0	0.0
531816	1.0	1.0	0.0	1.0	1.0
339494	1.0	2.0	2.0	1.0	0.0
179649	1.0	4.0	0.0	3.0	1.0
363713	1.0	2.0	2.0	2.0	0.0
510742	1.0	2.0	1.0	1.0	0.0
531429	1.0	0.0	2.0	0.0	1.0
525363	1.0	1.0	1.0	2.0	1.0
319275	1.0	1.0	0.0	1.0	0.0
509946	1.0	3.0	4.0	1.0	1.0
191660	1.0	1.0	1.0	2.0	0.0
518723	1.0	3.0	2.0	0.0	1.0
530482	1.0	1.0	2.0	0.0	0.0
209760	1.0	0.0	1.0	0.0	0.0
514940	1.0	2.0	1.0	3.0	0.0
194165	1.0	2.0	2.0	2.0	1.0
177872	1.0	2.0	2.0	0.0	1.0
164192	1.0	1.0	0.0	1.0	1.0
191005	1.0	0.0	0.0	0.0	1.0
184000	1.0	2.0	0.0	2.0	1.0
186384	1.0	0.0	3.0	0.0	1.0
527250	1.0	1.0	0.0	1.0	1.0
180321	1.0	2.0	2.0	2.0	0.0
CP022479.2983593.2985111	1.0	1.0	3.0	2.0	1.0
531152	1.0	0.0	0.0	0.0	1.0
189282	1.0	2.0	2.0	1.0	1.0
198085	1.0	0.0	0.0	0.0	1.0
180572	1.0	0.0	1.0	0.0	1.0
181665	1.0	3.0	2.0	2.0	1.0
177615	1.0	2.0	0.0	2.0	1.0
520774	1.0	1.0	3.0	1.0	1.0
189064	1.0	1.0	0.0	1.0	1.0
308969	1.0	0.0	0.0	1.0	1.0
509638	1.0	3.0	0.0	2.0	0.0
360246	1.0	0.0	2.0	3.0	1.0
591302	1.0	0.0	0.0	2.0	1.0
