# Constructed from biom file
#OTU ID	gutmock00S01	gutmock01S01	gutmock02S01	gutmock03S01	gutmock04S01
8f6e2a91e20994c00566a5ff2b49506e	431.0	582.0	461.0	259.0	928.0
d91b5c77b23b27230a16c7dc4325f4cd	124.0	146.0	224.0	397.0	301.0
6251bd9ebf43fae466939ab366f6e547	180.0	163.0	237.0	136.0	242.0
cabf476796cde204fa661231c431a7ac	170.0	161.0	230.0	143.0	242.0
63fcaf02bc7b34ab33308d40414e7307	161.0	152.0	225.0	136.0	239.0
ed3fb771bf345b8cc2e2a1cd024b1ce1	162.0	153.0	227.0	130.0	232.0
e31c7e269125382d9bd6ee8fcc1fde21	143.0	135.0	209.0	129.0	220.0
224d266b147588a000917723c0268775	555.0	58.0	89.0	69.0	41.0
b264ac8ff5f9aff74f0b9aa084d9a9f0	0.0	463.0	0.0	328.0	0.0
b8f980ec6ad0c86efb83bd1f64c3a252	137.0	129.0	191.0	114.0	204.0
bbae6ed124f4d6b48435a964a95c8418	127.0	185.0	162.0	144.0	131.0
4516aa60a483dd8c7bbc57098c45f1a5	113.0	167.0	151.0	116.0	116.0
9df251784dde31e05f02b2ee1029d71c	112.0	129.0	131.0	128.0	130.0
fd4b2e675786c0fa27565745bf3d8468	165.0	70.0	87.0	140.0	156.0
af2150fef76b295092cd60a788cbe500	113.0	139.0	131.0	121.0	92.0
e9398bc0ad9626bc4742c93fd0363bac	166.0	110.0	82.0	145.0	82.0
c6fdf631c16099e62a83c66db8a7a6f1	89.0	116.0	130.0	107.0	84.0
16684adccf4a4d35facc56a79870aaa9	286.0	63.0	48.0	34.0	43.0
c287da853235f9a98089163fdca87226	76.0	70.0	84.0	82.0	125.0
a39d801345fa448b725cc560f78f64bd	113.0	61.0	52.0	133.0	51.0
2ee657e8d73105fdb87313a047117230	70.0	106.0	60.0	85.0	76.0
4d6fe682a4dd9aad8decfab830a193e0	34.0	101.0	150.0	69.0	34.0
bb35a35e317aeaf3cdd5bef973af2498	85.0	63.0	102.0	76.0	40.0
2333899e308d0d8457971d8cdfa20a2e	81.0	81.0	78.0	84.0	40.0
22f4ee9a41a4d73580bf7ade8e9e017a	58.0	90.0	77.0	71.0	68.0
09ad3f07c79e7bbc78206689dc55492d	69.0	69.0	77.0	71.0	54.0
2eedf896e95f02090d22dd3e68742ce7	68.0	68.0	46.0	80.0	76.0
c728ad6f5d183cb36fa06b6a3a47758b	62.0	77.0	74.0	58.0	65.0
e1c900e963bc7177edcfba51af352d9f	50.0	94.0	37.0	81.0	73.0
1875d4e7a11ed24c92a865355693b86c	44.0	69.0	49.0	68.0	69.0
ba968750389f02d4d38a04a5bbc736cc	62.0	57.0	55.0	70.0	48.0
8d478879084ed7c88660c8b0c4b24923	0.0	130.0	95.0	0.0	67.0
dfa833b266bd2993b86feab3617b34c3	151.0	0.0	104.0	0.0	24.0
7fd9bb717cf5de62a8bf7562c16a1054	53.0	47.0	54.0	66.0	57.0
4df8473b0be4ef1e59f0b0709c586919	43.0	39.0	67.0	42.0	71.0
39ad3267db6e7e83e902b055e87c8b31	49.0	46.0	75.0	43.0	46.0
0765c0c663336463b3b6bdec60c49c7f	42.0	65.0	52.0	46.0	53.0
177fbc8060a7d68921bd129e6e644061	39.0	73.0	53.0	42.0	48.0
0ae2ea78213ca741ded6f9b30042d4b1	43.0	64.0	23.0	50.0	72.0
0eebf22536faa70d10968eb4972b2736	80.0	51.0	59.0	26.0	30.0
b08a1b53a3fd538cf8355ae121525bdd	44.0	58.0	22.0	44.0	73.0
5bf7943f5b2345fc046c55b8ca6da298	45.0	72.0	31.0	50.0	39.0
6c31248aab400bbb31133caffa277913	52.0	46.0	60.0	33.0	45.0
9cb986fb9a5d33f51977148b33c14fcb	30.0	79.0	41.0	50.0	35.0
a8eb3e86e896febff5f3e223f84ba94b	10.0	21.0	176.0	7.0	10.0
31c7bc067538dcf7916e8b7cbefa44e5	46.0	70.0	0.0	51.0	56.0
8dad46f6a56c66ce0fac3fac5b71b674	37.0	45.0	27.0	40.0	66.0
fb7a1c0b3625f00ee42dbfcbaa001f12	54.0	42.0	58.0	29.0	22.0
bb4cb74a1c44bbe7d5b215abf892a7ab	29.0	53.0	20.0	45.0	53.0
f7d40e3c3a3e3a250186ad650ae6ae42	32.0	42.0	44.0	40.0	39.0
79b653a5af7437d97391cc1240447e4d	24.0	46.0	33.0	45.0	49.0
2ab424bb8819d10f58e3059611aeb88c	28.0	37.0	69.0	20.0	41.0
a867d6add80b654f3223dc7240fe32e8	27.0	47.0	38.0	41.0	40.0
84d5b4caf97aa015e10e7cc6e8784be7	36.0	51.0	30.0	33.0	38.0
ada3c861e302d43e4f813bd754b8b4ec	24.0	50.0	36.0	27.0	45.0
35fd41579b5eec27ec14c400c586c480	32.0	42.0	44.0	30.0	18.0
bc9350a59b80d8d6ba12aa3b47ef571d	0.0	53.0	35.0	31.0	47.0
8fbfffbc328be7b05b9df5afe90923c2	31.0	20.0	44.0	35.0	35.0
26547c96837ae7efcfa67fca0cc71140	26.0	42.0	50.0	25.0	21.0
6b848edd5e6addf3329617c46b3c83a1	11.0	29.0	30.0	48.0	44.0
d5c20026d837fa154e8da3d548b9fef5	36.0	45.0	31.0	16.0	31.0
01eafc59ca72c8ecb3951d4732cbe9b6	25.0	38.0	43.0	25.0	28.0
fef4a37f1f4d24a6c91f5caf8fbaa33d	29.0	40.0	27.0	31.0	29.0
489021343dda97066a10d32e48c1f658	26.0	28.0	43.0	29.0	25.0
52ba52e30f9d5544bdace0dc6dd18956	45.0	0.0	25.0	0.0	74.0
7b6d335d29fb8edf989ba7d03a848d84	37.0	57.0	0.0	45.0	0.0
4aec1c9611a1ea18d98bccc72ffc6beb	36.0	15.0	0.0	49.0	38.0
d542ad12d70fbe77544e169f179bf9a8	0.0	38.0	51.0	30.0	19.0
a76bceb8556d98d20da8b2e65d2a974d	25.0	25.0	15.0	32.0	38.0
d1cf1d11d3e2b5a8fe82b718b6fadc2d	22.0	28.0	33.0	23.0	29.0
4a1547af0bbae2aff8f3222d2fba2102	18.0	24.0	24.0	40.0	28.0
