# Constructed from biom file
#OTU ID	gutmock00S01	gutmock01S01	gutmock02S01	gutmock03S01	gutmock04S01
a4e837a406b02937ff2c72ee70ccd9c5	390.0	535.0	419.0	218.0	886.0
cfbbef90c136a681b68047afb1d30da5	318.0	302.0	429.0	244.0	422.0
7a8603388f24ceb73a765c63fbd45827	291.0	275.0	401.0	232.0	403.0
16f8f26defa3f060e1736016f0180600	292.0	269.0	408.0	217.0	405.0
e05e9ce9b60bdf7edca2d3c1a1957983	281.0	262.0	390.0	217.0	387.0
c0a5f43b587c678c52154d6dcf8cf376	219.0	401.0	283.0	284.0	222.0
48d6db1826db79b1af5465b1b7b0e421	124.0	147.0	224.0	422.0	301.0
19cbf5f0bc64318a94763c21cb8ebc50	164.0	273.0	196.0	255.0	152.0
d723d8c35f97a6730f1cb7098ac6f822	199.0	252.0	140.0	175.0	89.0
5753f8ef2cb2090cd65696655b3044b7	555.0	58.0	89.0	69.0	41.0
cefb03b8996e0a863e55f6380a291815	81.0	236.0	334.0	69.0	65.0
4032a27979b1ae05ddcece69464ad811	155.0	128.0	155.0	103.0	228.0
b2e020d278be0239748098c425a09eaa	146.0	0.0	181.0	185.0	217.0
d9078704085b5a0ba122decc622b1ece	112.0	129.0	131.0	128.0	130.0
579495d13501d66e8aabf27c2b466359	165.0	70.0	87.0	140.0	156.0
feba681c3007ed2781f665e15b322e22	113.0	139.0	131.0	121.0	96.0
29a3ecffa6bc61879b1d8ffae97c22ce	166.0	110.0	82.0	145.0	82.0
e4ca3db2eef8d020975e2ed77c2ec71b	94.0	130.0	134.0	116.0	97.0
7e7ddc0328f4e122b5a0a16dd886ed4a	0.0	228.0	49.0	150.0	117.0
77926c861b78707eb319383e137d5e19	186.0	95.0	0.0	181.0	67.0
0dcfd8443e97741d0ef0692b22154a2f	0.0	0.0	0.0	508.0	0.0
ebb2d075613a599ce0b006f82ecad961	150.0	117.0	109.0	60.0	68.0
93e1c76e3803548847aa874029b4c520	0.0	0.0	0.0	242.0	260.0
7847ae4ee49d0b2ed846c750464ae59f	76.0	72.0	86.0	83.0	126.0
