ID	gutmock00	gutmock01	gutmock02	gutmock03	gutmock04
AJ867050	69.0	66.0	100.0	56.0	98.0
CP000139.2587720.2589229	59.0	58.0	82.0	47.0	82.0
AB050111.1	60.0	55.0	77.0	43.0	76.0
EU136687.1.1985	58.0	49.0	81.0	37.0	80.0
CP000139	53.0	53.0	70.0	44.0	68.0
CP013020.1499308.1500777	53.0	50.0	77.0	43.0	77.0
CP000139.2095441.2096950	50.0	44.0	67.0	34.0	67.0
CP013020.522312.523836	42.0	40.0	66.0	36.0	65.0
CP000139.346743.348252	61.0	61.0	85.0	53.0	85.0
CP000139.2183533.2185042	65.0	64.0	91.0	56.0	91.0
AJ867050.1.1476	51.0	45.0	70.0	35.0	70.0
CP000139.4430477.4431986	56.0	52.0	72.0	46.0	71.0
CP013020.3635869.3637394	52.0	47.0	73.0	41.0	72.0
KP944147.1.1391	53.0	50.0	68.0	41.0	67.0
CP013020.4980576.4982099	58.0	56.0	72.0	49.0	72.0
AB510712.1.1489	57.0	55.0	79.0	42.0	77.0
CP000139.4743140.4744649	46.0	45.0	76.0	39.0	75.0
CP013020.434264.435778	59.0	53.0	76.0	45.0	76.0
CP013020.3929946.3931471	72.0	67.0	94.0	49.0	93.0
CP013020.4642981.4644502	46.0	43.0	68.0	29.0	68.0
KP944149.1.1433	58.0	55.0	84.0	45.0	84.0
ARFY01000032.606843.608350	199.0	18.0	33.0	28.0	16.0
AY974071	180.0	17.0	23.0	22.0	12.0
AB554231.1.1489	176.0	23.0	33.0	19.0	13.0
521067	1.0	1.0	1.0	1.0	1.0
370290	1.0	0.0	1.0	1.0	1.0
190169	1.0	0.0	1.0	0.0	1.0
518792	1.0	0.0	1.0	0.0	1.0
195523	1.0	1.0	1.0	0.0	1.0
AY169427.1	1.0	0.0	0.0	0.0	0.0
3568688	1.0	0.0	1.0	1.0	1.0
364625	1.0	1.0	1.0	1.0	1.0
4315979	1.0	1.0	1.0	1.0	1.0
190471	1.0	1.0	1.0	0.0	1.0
312048	1.0	1.0	1.0	0.0	1.0
525665	1.0	1.0	1.0	0.0	1.0
528965	1.0	1.0	1.0	1.0	1.0
845544	1.0	1.0	1.0	1.0	1.0
365868	1.0	0.0	1.0	0.0	1.0
366580	1.0	1.0	1.0	0.0	1.0
4435890	1.0	1.0	1.0	1.0	1.0
183157	1.0	0.0	1.0	0.0	1.0
165924	1.0	0.0	1.0	1.0	1.0
4359216	1.0	1.0	1.0	1.0	1.0
158045	1.0	1.0	1.0	1.0	1.0
518372	1.0	1.0	1.0	0.0	1.0
4464124	1.0	0.0	1.0	0.0	1.0
210911	1.0	1.0	1.0	1.0	1.0
4372581	1.0	1.0	1.0	0.0	1.0
4472787	1.0	0.0	1.0	0.0	1.0
157699	1.0	0.0	1.0	1.0	1.0
157308	1.0	1.0	1.0	0.0	1.0
183780	1.0	0.0	1.0	1.0	1.0
173925	1.0	0.0	1.0	0.0	1.0
189025	1.0	0.0	1.0	1.0	1.0
4391342	1.0	1.0	1.0	0.0	1.0
526786	1.0	0.0	1.0	0.0	1.0
198699	1.0	0.0	1.0	0.0	1.0
3568195	1.0	1.0	1.0	1.0	1.0
514232	1.0	1.0	1.0	1.0	1.0
4399793	1.0	1.0	1.0	0.0	1.0
531618	1.0	0.0	1.0	0.0	1.0
2782257	1.0	0.0	1.0	1.0	1.0
4476129	1.0	1.0	1.0	1.0	1.0
530876	1.0	1.0	1.0	0.0	1.0
366916	1.0	1.0	1.0	0.0	1.0
4474222	1.0	0.0	1.0	1.0	0.0
358772	1.0	0.0	1.0	0.0	0.0
188382	1.0	0.0	1.0	0.0	0.0
851865	1.0	0.0	1.0	1.0	0.0
358117	1.0	1.0	1.0	1.0	0.0
4327095	1.0	1.0	1.0	1.0	1.0
844214	1.0	1.0	1.0	1.0	0.0
850081	1.0	0.0	1.0	0.0	1.0
178895	1.0	0.0	1.0	1.0	0.0
199251	1.0	1.0	1.0	0.0	1.0
3972831	1.0	1.0	1.0	0.0	0.0
841781	1.0	1.0	1.0	0.0	0.0
525812	1.0	1.0	1.0	0.0	0.0
359796	1.0	1.0	1.0	1.0	1.0
4201971	1.0	1.0	1.0	0.0	0.0
204512	1.0	0.0	1.0	0.0	0.0
370050	1.0	1.0	1.0	1.0	0.0
354485	1.0	0.0	1.0	0.0	0.0
4459645	1.0	0.0	1.0	1.0	0.0
4324240	1.0	0.0	1.0	1.0	0.0
522398	1.0	1.0	1.0	0.0	0.0
51306	1.0	1.0	0.0	1.0	0.0
186384	1.0	1.0	1.0	0.0	1.0
181056	1.0	1.0	1.0	0.0	0.0
CP030777.1562113.1563630	1.0	0.0	1.0	0.0	1.0
166082	1.0	0.0	1.0	1.0	1.0
4357854	1.0	1.0	1.0	1.0	0.0
2137117	1.0	1.0	1.0	1.0	0.0
358641	1.0	0.0	1.0	1.0	1.0
700996	1.0	0.0	1.0	0.0	1.0
369311	1.0	0.0	1.0	0.0	0.0
579284	1.0	1.0	1.0	0.0	0.0
370037	1.0	1.0	0.0	0.0	1.0
45687	1.0	0.0	1.0	0.0	0.0
527158	1.0	0.0	1.0	1.0	0.0
368127	1.0	1.0	1.0	0.0	0.0
197827	1.0	1.0	1.0	0.0	0.0
183992	1.0	0.0	0.0	0.0	1.0
