ID	mockrobiota00	mockrobiota01	mockrobiota02	mockrobiota03	mockrobiota04
Mockrobiota_1	1.0	1.0	1.0	1.0	1.0
Mockrobiota_10	1.0	1.0	1.0	1.0	1.0
Mockrobiota_100	1.0	0.0	0.0	0.0	1.0
Mockrobiota_102	0.0	1.0	0.0	0.0	1.0
Mockrobiota_104	1.0	1.0	0.0	0.0	1.0
Mockrobiota_105	0.0	1.0	1.0	1.0	1.0
Mockrobiota_106	0.0	1.0	1.0	1.0	1.0
Mockrobiota_107	0.0	1.0	1.0	1.0	1.0
Mockrobiota_108	0.0	1.0	0.0	1.0	1.0
Mockrobiota_109	1.0	1.0	1.0	1.0	1.0
Mockrobiota_11	0.0	1.0	1.0	0.0	1.0
Mockrobiota_110	1.0	0.0	0.0	0.0	1.0
Mockrobiota_111	1.0	0.0	1.0	0.0	1.0
Mockrobiota_114	1.0	0.0	0.0	0.0	1.0
Mockrobiota_115	1.0	0.0	1.0	1.0	1.0
Mockrobiota_116	0.0	1.0	1.0	0.0	0.0
Mockrobiota_117	1.0	0.0	1.0	1.0	1.0
Mockrobiota_119	0.0	1.0	1.0	1.0	1.0
Mockrobiota_12	1.0	1.0	1.0	1.0	1.0
Mockrobiota_120	0.0	1.0	1.0	1.0	1.0
Mockrobiota_121	1.0	1.0	0.0	1.0	1.0
Mockrobiota_122	1.0	1.0	1.0	1.0	1.0
Mockrobiota_123	1.0	1.0	0.0	0.0	1.0
Mockrobiota_124	1.0	1.0	1.0	1.0	1.0
Mockrobiota_125	1.0	0.0	1.0	0.0	1.0
Mockrobiota_126	1.0	0.0	1.0	0.0	0.0
Mockrobiota_127	1.0	1.0	1.0	1.0	1.0
Mockrobiota_128	1.0	0.0	0.0	0.0	1.0
Mockrobiota_129	0.0	1.0	1.0	1.0	1.0
Mockrobiota_13	1.0	0.0	1.0	1.0	1.0
Mockrobiota_130	1.0	1.0	1.0	0.0	0.0
Mockrobiota_133	1.0	0.0	1.0	1.0	1.0
Mockrobiota_134	0.0	1.0	1.0	1.0	1.0
Mockrobiota_135	1.0	1.0	0.0	1.0	0.0
Mockrobiota_136	1.0	0.0	1.0	1.0	1.0
Mockrobiota_137	1.0	1.0	1.0	0.0	1.0
Mockrobiota_138	1.0	0.0	1.0	0.0	1.0
Mockrobiota_139	0.0	1.0	0.0	0.0	1.0
Mockrobiota_14	1.0	1.0	1.0	1.0	1.0
Mockrobiota_140	0.0	1.0	0.0	1.0	1.0
Mockrobiota_142	0.0	1.0	0.0	0.0	1.0
Mockrobiota_144	0.0	1.0	1.0	1.0	0.0
Mockrobiota_148	0.0	1.0	1.0	0.0	1.0
Mockrobiota_149	0.0	0.0	1.0	1.0	0.0
Mockrobiota_15	1.0	1.0	1.0	1.0	0.0
Mockrobiota_150	1.0	0.0	1.0	1.0	1.0
Mockrobiota_151	1.0	1.0	1.0	1.0	1.0
Mockrobiota_153	1.0	1.0	1.0	0.0	1.0
Mockrobiota_154	1.0	1.0	1.0	1.0	1.0
Mockrobiota_159	1.0	1.0	1.0	1.0	0.0
Mockrobiota_16	1.0	1.0	0.0	1.0	0.0
Mockrobiota_160	1.0	1.0	0.0	1.0	0.0
Mockrobiota_161	1.0	1.0	1.0	0.0	1.0
Mockrobiota_162	0.0	1.0	1.0	1.0	1.0
Mockrobiota_163	1.0	1.0	0.0	0.0	1.0
Mockrobiota_164	0.0	1.0	1.0	1.0	1.0
