Taxa	Abundance	IDs
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Moraxellales; f__Moraxellaceae; g__Acinetobacter; s__Acinetobacter_baumannii	2	Mockrobiota_1,Mockrobiota_188
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__Bacillus_cereus	4	Mockrobiota_3,Mockrobiota_6,Mockrobiota_191,Mockrobiota_192
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Phocaeicola; s__Phocaeicola_vulgatus	14	Mockrobiota_7,Mockrobiota_8,Mockrobiota_9,Mockrobiota_10,Mockrobiota_11,Mockrobiota_12,Mockrobiota_65,Mockrobiota_67,Mockrobiota_194,Mockrobiota_195,Mockrobiota_196,Mockrobiota_197,Mockrobiota_260,Mockrobiota_272
k__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Clostridiaceae; g__Clostridium; s__Clostridium_beijerinckii	11	Mockrobiota_13,Mockrobiota_14,Mockrobiota_17,Mockrobiota_18,Mockrobiota_19,Mockrobiota_20,Mockrobiota_21,Mockrobiota_22,Mockrobiota_23,Mockrobiota_24,Mockrobiota_25
k__Bacteria; p__Deinococcus-Thermus; c__Deinococci; o__Deinococcales; f__Deinococcaceae; g__Deinococcus; s__Deinococcus_radiodurans	4	Mockrobiota_27,Mockrobiota_28,Mockrobiota_213,Mockrobiota_214
k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Enterococcaceae; g__Enterococcus; s__Enterococcus_faecalis	5	Mockrobiota_29,Mockrobiota_30,Mockrobiota_129,Mockrobiota_215,Mockrobiota_216
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia; s__Escherichia_coli	6	Mockrobiota_31,Mockrobiota_265,Mockrobiota_266,Mockrobiota_267,Mockrobiota_270,Mockrobiota_271
k__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales; f__Helicobacteraceae; g__Helicobacter; s__Helicobacter_pylori	2	Mockrobiota_32,Mockrobiota_223
k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__Lactobacillus_gasseri	2	Mockrobiota_33,Mockrobiota_224
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Neisseriales; f__Neisseriaceae; g__Neisseria; s__Neisseria_meningitidis	2	Mockrobiota_34,Mockrobiota_229
k__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Propionibacteriales; f__Propionibacteriaceae; g__Cutibacterium; s__Cutibacterium_acnes	3	Mockrobiota_36,Mockrobiota_230,Mockrobiota_231
