ID	mockrobiota00	mockrobiota01	mockrobiota02	mockrobiota03	mockrobiota04
Mockrobiota_13	1.0	1.0	1.0	0.0	1.0
Mockrobiota_17	1.0	1.0	1.0	0.0	1.0
Mockrobiota_14	1.0	0.0	0.0	0.0	1.0
Mockrobiota_19	1.0	1.0	1.0	0.0	1.0
Mockrobiota_25	1.0	1.0	0.0	0.0	1.0
Mockrobiota_24	1.0	1.0	1.0	0.0	1.0
Mockrobiota_26	1.0	1.0	1.0	0.0	1.0
Mockrobiota_16	1.0	0.0	1.0	0.0	0.0
Mockrobiota_22	1.0	1.0	0.0	0.0	1.0
Mockrobiota_18	1.0	0.0	1.0	0.0	1.0
Mockrobiota_204	1.0	1.0	0.0	1.0	1.0
Mockrobiota_212	1.0	1.0	0.0	1.0	0.0
Mockrobiota_243	2.0	0.0	1.0	3.0	0.0
Mockrobiota_47	2.0	0.0	0.0	0.0	0.0
Mockrobiota_49	3.0	0.0	0.0	0.0	0.0
Mockrobiota_48	2.0	0.0	0.0	0.0	0.0
Mockrobiota_46	5.0	0.0	1.0	1.0	0.0
Mockrobiota_50	2.0	0.0	0.0	2.0	0.0
Mockrobiota_240	2.0	0.0	1.0	5.0	0.0
Mockrobiota_244	2.0	0.0	0.0	1.0	0.0
Mockrobiota_242	2.0	0.0	0.0	1.0	0.0
Mockrobiota_265	4.0	3.0	0.0	3.0	1.0
Mockrobiota_270	4.0	3.0	1.0	3.0	3.0
Mockrobiota_264	1.0	1.0	0.0	1.0	1.0
Mockrobiota_268	5.0	0.0	1.0	0.0	0.0
Mockrobiota_267	2.0	2.0	1.0	3.0	3.0
Mockrobiota_269	2.0	2.0	1.0	3.0	2.0
Mockrobiota_266	1.0	1.0	1.0	2.0	2.0
Mockrobiota_31	1.0	1.0	0.0	2.0	2.0
Mockrobiota_261	1.0	0.0	0.0	0.0	0.0
Mockrobiota_271	1.0	1.0	1.0	1.0	2.0
Mockrobiota_6	1.0	6.0	0.0	3.0	1.0
Mockrobiota_4	1.0	1.0	1.0	1.0	1.0
Mockrobiota_191	1.0	2.0	1.0	1.0	1.0
Mockrobiota_190	1.0	3.0	1.0	2.0	1.0
Mockrobiota_192	1.0	2.0	0.0	1.0	1.0
Mockrobiota_5	1.0	1.0	0.0	1.0	1.0
Mockrobiota_2	1.0	3.0	0.0	1.0	1.0
Mockrobiota_226	1.0	1.0	2.0	3.0	3.0
Mockrobiota_59	3.0	0.0	1.0	2.0	0.0
Mockrobiota_227	3.0	1.0	1.0	1.0	1.0
Mockrobiota_56	2.0	1.0	1.0	4.0	2.0
Mockrobiota_225	2.0	1.0	2.0	2.0	2.0
Mockrobiota_58	2.0	0.0	2.0	0.0	0.0
Mockrobiota_228	2.0	1.0	0.0	1.0	1.0
Mockrobiota_238	2.0	1.0	3.0	1.0	1.0
Mockrobiota_45	4.0	2.0	1.0	2.0	1.0
Mockrobiota_239	1.0	2.0	3.0	2.0	1.0
Mockrobiota_43	1.0	0.0	0.0	0.0	1.0
Mockrobiota_44	1.0	2.0	3.0	3.0	1.0
Mockrobiota_42	1.0	2.0	1.0	3.0	1.0
Mockrobiota_122	3.0	1.0	0.0	3.0	0.0
Mockrobiota_126	3.0	1.0	0.0	3.0	0.0
Mockrobiota_127	1.0	0.0	0.0	2.0	1.0
Mockrobiota_125	3.0	1.0	0.0	1.0	0.0
Mockrobiota_216	2.0	2.0	1.0	0.0	0.0
Mockrobiota_215	1.0	4.0	3.0	1.0	0.0
Mockrobiota_129	1.0	1.0	1.0	0.0	1.0
Mockrobiota_130	3.0	2.0	1.0	1.0	1.0
Mockrobiota_29	2.0	4.0	2.0	0.0	1.0
Mockrobiota_30	1.0	1.0	1.0	0.0	1.0
Mockrobiota_98	1.0	0.0	1.0	2.0	1.0
Mockrobiota_97	1.0	0.0	1.0	1.0	1.0
Mockrobiota_95	1.0	0.0	1.0	2.0	1.0
Mockrobiota_99	1.0	0.0	1.0	1.0	0.0
Mockrobiota_100	1.0	0.0	1.0	1.0	0.0
Mockrobiota_134	1.0	0.0	0.0	0.0	1.0
Mockrobiota_131	1.0	0.0	3.0	0.0	1.0
Mockrobiota_222	1.0	2.0	1.0	2.0	1.0
Mockrobiota_218	1.0	1.0	1.0	0.0	1.0
Mockrobiota_38	2.0	0.0	3.0	0.0	1.0
Mockrobiota_37	3.0	2.0	0.0	0.0	1.0
Mockrobiota_233	2.0	0.0	2.0	0.0	0.0
Mockrobiota_39	2.0	5.0	1.0	1.0	1.0
Mockrobiota_232	1.0	4.0	3.0	1.0	1.0
Mockrobiota_247	1.0	1.0	0.0	0.0	0.0
Mockrobiota_53	1.0	1.0	0.0	0.0	0.0
Mockrobiota_78	1.0	1.0	2.0	1.0	0.0
Mockrobiota_81	2.0	1.0	0.0	0.0	0.0
Mockrobiota_80	2.0	1.0	3.0	0.0	1.0
Mockrobiota_36	2.0	1.0	1.0	1.0	2.0
Mockrobiota_35	2.0	1.0	1.0	1.0	2.0
Mockrobiota_230	2.0	1.0	1.0	1.0	2.0
Mockrobiota_231	1.0	0.0	0.0	1.0	1.0
Mockrobiota_236	3.0	1.0	3.0	3.0	1.0
Mockrobiota_235	2.0	0.0	2.0	1.0	0.0
Mockrobiota_41	1.0	1.0	1.0	0.0	1.0
Mockrobiota_40	1.0	1.0	0.0	0.0	0.0
Mockrobiota_94	1.0	0.0	1.0	0.0	0.0
Mockrobiota_92	1.0	0.0	1.0	3.0	2.0
Mockrobiota_139	1.0	0.0	2.0	1.0	1.0
Mockrobiota_138	1.0	0.0	3.0	1.0	1.0
