Feature ID	Taxon
Mockrobiota_208	k__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Clostridiaceae; g__Clostridium-Clostridium_sensu_stricto_1; s__Clostridium_beijerinckii-sensu
Mockrobiota_16	k__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Clostridiaceae; g__Clostridium-Clostridium_sensu_stricto_1; s__Clostridium_beijerinckii-sensu
Mockrobiota_19	k__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Clostridiaceae; g__Clostridium-Clostridium_sensu_stricto_1; s__Clostridium_beijerinckii-sensu
Mockrobiota_22	k__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Clostridiaceae; g__Clostridium-Clostridium_sensu_stricto_1; s__Clostridium_beijerinckii-sensu
Mockrobiota_17	k__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Clostridiaceae; g__Clostridium-Clostridium_sensu_stricto_1; s__Clostridium_beijerinckii-sensu
Mockrobiota_205	k__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Clostridiaceae; g__Clostridium-Clostridium_sensu_stricto_1; s__Clostridium_beijerinckii-sensu
Mockrobiota_13	k__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Clostridiaceae; g__Clostridium-Clostridium_sensu_stricto_1; s__Clostridium_beijerinckii-sensu
Mockrobiota_14	k__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Clostridiaceae; g__Clostridium-Clostridium_sensu_stricto_1; s__Clostridium_beijerinckii-sensu
Mockrobiota_21	k__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Clostridiaceae; g__Clostridium-Clostridium_sensu_stricto_1; s__Clostridium_beijerinckii-sensu
Mockrobiota_24	k__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Clostridiaceae; g__Clostridium-Clostridium_sensu_stricto_1; s__Clostridium_beijerinckii-sensu
Mockrobiota_212	k__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Clostridiaceae; g__Clostridium-Clostridium_sensu_stricto_1; s__Clostridium_beijerinckii-sensu
Mockrobiota_200	k__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Clostridiaceae; g__Clostridium-Clostridium_sensu_stricto_1; s__Clostridium_beijerinckii-sensu
Mockrobiota_23	k__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Clostridiaceae; g__Clostridium-Clostridium_sensu_stricto_1; s__Clostridium_beijerinckii-sensu
