# Constructed from biom file
#OTU ID	mockrobiota00S01	mockrobiota01S01	mockrobiota02S01	mockrobiota03S01	mockrobiota04S01
d15985b4897457d5640805382cf137f5	0.0	9.0	12.0	16.0	9.0
6302bb09ade4e774f5e028c14e692774	27.0	0.0	0.0	0.0	0.0
16f8f26defa3f060e1736016f0180600	0.0	0.0	13.0	0.0	14.0
d1d80aff95dc47afdde8aeefaf8bf2b7	0.0	13.0	0.0	13.0	0.0
beb448b81066b1382395e96bb78e25ae	0.0	4.0	9.0	6.0	0.0
84977a3d0c12f9d6679e8520bdbf8493	0.0	16.0	0.0	0.0	0.0
ce106d7639a4c7c632692940ff3d504c	0.0	5.0	3.0	0.0	0.0
cfbbef90c136a681b68047afb1d30da5	0.0	0.0	0.0	0.0	7.0
11b4bbdd33701dd3eb6342c6df7c4d6c	0.0	3.0	0.0	0.0	2.0
235b532d22e27db137b4747a8d9572b9	0.0	0.0	3.0	0.0	0.0
c69c80f4405fda59de1ba7896712afce	0.0	0.0	3.0	0.0	0.0
6531a213fdeceb253a86a43b772dda54	0.0	0.0	0.0	3.0	0.0
