# Constructed from biom file
#OTU ID	mockrobiota00S01	mockrobiota01S01	mockrobiota02S01	mockrobiota03S01	mockrobiota04S01
e4a79f5dc9f061687202ec45363540aa	24.0	21.0	21.0	23.0	24.0
4a93a83d1cfff363ca16a6fe13780c61	14.0	14.0	13.0	13.0	13.0
d1d80aff95dc47afdde8aeefaf8bf2b7	12.0	12.0	11.0	11.0	12.0
7a8603388f24ceb73a765c63fbd45827	16.0	11.0	0.0	15.0	13.0
7ed68def890504f665618e2aa8f8a955	7.0	8.0	9.0	5.0	6.0
6bf1a63f1d1b1de9479fb487edb3c077	7.0	8.0	4.0	8.0	5.0
e6a84ca2cddc33747fa1abaf92c94ba7	0.0	12.0	8.0	0.0	8.0
0337e287722678a44580ef108ce9d92b	5.0	3.0	7.0	6.0	6.0
52ddaee354c4371766c9900f3475da24	5.0	5.0	6.0	5.0	5.0
865f368fae3d1a90ec05663b85db9379	8.0	0.0	0.0	7.0	11.0
6531a213fdeceb253a86a43b772dda54	5.0	5.0	4.0	5.0	5.0
cefb03b8996e0a863e55f6380a291815	5.0	5.0	5.0	5.0	4.0
d15985b4897457d5640805382cf137f5	6.0	4.0	5.0	3.0	5.0
3568fb825ae1aa67908459cd366b2e3b	4.0	4.0	4.0	3.0	4.0
ad8c0eeb73171da6fef5756e4e52b65e	5.0	3.0	3.0	4.0	4.0
5897f46dcef1a15d235484364e583e10	5.0	3.0	4.0	3.0	4.0
85782c6cfb3c78f9ae8ba4c2248bc04a	4.0	5.0	5.0	5.0	0.0
b5f15b0f2655d53de7477b4941d95cc2	5.0	0.0	7.0	7.0	0.0
3d328871706212c2869db1c7f7fb005a	4.0	4.0	4.0	4.0	0.0
c69c80f4405fda59de1ba7896712afce	0.0	4.0	2.0	4.0	4.0
cfbbef90c136a681b68047afb1d30da5	0.0	0.0	13.0	0.0	0.0
235b532d22e27db137b4747a8d9572b9	2.0	0.0	3.0	3.0	2.0
3879a71189075b22e41a462e8a3fad02	5.0	0.0	0.0	0.0	4.0
fd7dafe714981ed33c960e200097682d	0.0	3.0	0.0	6.0	0.0
2d578a97978cfed429f5e122855b6374	0.0	2.0	2.0	2.0	2.0
9b05f83d2c529080387d5c6f0d7c31b4	3.0	0.0	0.0	2.0	2.0
93e1c76e3803548847aa874029b4c520	0.0	3.0	2.0	2.0	0.0
5c2656c44767c951640ecbbdc478eff0	0.0	2.0	2.0	0.0	2.0
29e3b598ab74541b92cdd41688686ed1	0.0	3.0	2.0	0.0	0.0
11b4bbdd33701dd3eb6342c6df7c4d6c	0.0	2.0	0.0	0.0	3.0
2784700fd508030b7df08c276cd2cd3e	0.0	2.0	0.0	0.0	3.0
2eae2d14ea1f2553c6cc2b43e906de90	2.0	0.0	2.0	0.0	0.0
d29fdf4e0e4c3ba1e3c7c0218770007b	2.0	2.0	0.0	0.0	0.0
8fe58862ff514406f27592d4ff7b70f9	0.0	0.0	2.0	0.0	2.0
80798a9d6fb3b315296aa8455c5a5f0b	0.0	0.0	2.0	0.0	2.0
4131a6855a6e1aef938b1ba406dfd27d	2.0	0.0	0.0	0.0	0.0
4402378a6d3451a7118a023f983d4d5c	0.0	2.0	0.0	0.0	0.0
