ID	vagimock00	vagimock01	vagimock02	vagimock03	vagimock04
AEPX01000015.105.1663	1353.0	1190.0	978.0	599.0	342.0
137340	1306.0	1135.0	948.0	583.0	329.0
133075	1362.0	1188.0	979.0	573.0	311.0
130864	1300.0	1142.0	942.0	567.0	316.0
134019	1309.0	1150.0	968.0	571.0	307.0
133599	1280.0	1098.0	942.0	573.0	321.0
HE573916.1.1560	1376.0	1248.0	1052.0	599.0	324.0
JQ805637.1.1609	44.0	61.0	70.0	51.0	18.0
AB976553.1.1512	51.0	93.0	66.0	60.0	18.0
AB976554.1.1526	52.0	97.0	66.0	54.0	20.0
AF519171	42.0	87.0	62.0	37.0	10.0
CP006803.1621536.1623115	46.0	94.0	55.0	44.0	14.0
KF738665.1.1553	34.0	72.0	62.0	55.0	14.0
ACGK02000001.81982.83485	68.0	21.0	45.0	30.0	52.0
851594	71.0	21.0	40.0	48.0	44.0
AP012332.96440.97971	35.0	109.0	235.0	175.0	161.0
M58744	22.0	96.0	236.0	175.0	155.0
CP001849.1589621.1591094	38.0	103.0	253.0	180.0	156.0
LSRC01000036.25725.27238	35.0	109.0	234.0	159.0	179.0
AJVZ01000011.66937.68447	15.0	2.0	4.0	2.0	11.0
KF999877.1.1488	10.0	4.0	2.0	4.0	7.0
L16475	18.0	2.0	3.0	2.0	7.0
NR_113096	17.0	4.0	6.0	1.0	5.0
EU559601.1	0.0	164.0	51.0	37.0	88.0
CP018809.1516019.1517589	0.0	142.0	34.0	44.0	67.0
CP018809.1347636.1349206	0.0	144.0	44.0	56.0	100.0
AJ242969.1.1539	0.0	18.0	188.0	637.0	851.0
FN692037.427906.429457	0.0	18.0	175.0	613.0	888.0
AB976548.1.1514	0.0	25.0	175.0	661.0	860.0
FN692037.1669931.1671482	0.0	20.0	185.0	669.0	903.0
EU559595.1.1562	0.0	15.0	154.0	639.0	914.0
AB976542.1.1518	0.0	16.0	190.0	594.0	838.0
NR_119274	0.0	14.0	179.0	657.0	867.0
531370	0.0	1.0	0.0	0.0	0.0
532039	0.0	1.0	0.0	0.0	0.0
579740	0.0	1.0	0.0	0.0	0.0
520056	0.0	1.0	0.0	0.0	0.0
514575	0.0	1.0	0.0	0.0	0.0
321083	0.0	1.0	0.0	0.0	0.0
ACBX02000025.1.1217	0.0	1.0	0.0	0.0	0.0
509109	0.0	1.0	0.0	0.0	0.0
301253	0.0	1.0	0.0	0.0	0.0
528303	0.0	1.0	0.0	0.0	0.0
530487	0.0	1.0	0.0	0.0	0.0
520573	0.0	1.0	0.0	0.0	0.0
521784	0.0	1.0	0.0	0.0	0.0
525322	0.0	1.0	0.0	0.0	0.0
518820	0.0	1.0	0.0	0.0	0.0
525357	0.0	1.0	0.0	0.0	0.0
526547	0.0	1.0	0.0	0.0	0.0
558839	0.0	1.0	0.0	0.0	0.0
299764	0.0	1.0	0.0	0.0	0.0
515108	0.0	1.0	0.0	0.0	0.0
515470	0.0	1.0	0.0	0.0	0.0
197763	0.0	1.0	0.0	0.0	0.0
526034	0.0	1.0	0.0	1.0	0.0
525461	0.0	1.0	0.0	0.0	0.0
524531	0.0	1.0	0.0	0.0	0.0
519244	0.0	1.0	0.0	0.0	0.0
185647	0.0	1.0	0.0	0.0	0.0
520955	0.0	1.0	0.0	0.0	0.0
