# Constructed from biom file
#OTU ID	vagimock00S01	vagimock01S01	vagimock02S01	vagimock03S01	vagimock04S01
b91cf8aac319ba23d738f50fc9e66768	699.0	634.0	538.0	311.0	158.0
9a01dc03398b0502d6eb264d2d295c8e	693.0	605.0	496.0	313.0	177.0
07717cfb0f3b06973c46a3554581e890	696.0	609.0	511.0	282.0	155.0
1f06e40bc16334dae4f9ea9adca3dcea	666.0	577.0	485.0	303.0	171.0
88821b6dce27fcf2f1a4c51967157a36	668.0	581.0	484.0	298.0	157.0
29ab4eab028273e80e4f25952dc88cdb	660.0	585.0	482.0	286.0	165.0
06e1d7fa2d86c4b36b26ffcd22d91cf4	652.0	571.0	489.0	295.0	161.0
3e094961ea2172836e51847bfc859bbe	664.0	577.0	466.0	289.0	155.0
f415cbcfec89f47dc76a1d89e1216eeb	651.0	573.0	471.0	272.0	143.0
5795ded9d8ec0d58dfcfe361b551e931	637.0	555.0	460.0	277.0	156.0
342a517f605bf9c172738f1089c7d595	631.0	560.0	457.0	268.0	159.0
f14141d03c23f3658014090c72c23866	0.0	67.0	187.0	707.0	921.0
859bafbe529941021181e4111bc8377e	0.0	0.0	66.0	252.0	331.0
19f63a55029efdff07ac261758e771e8	0.0	0.0	63.0	235.0	320.0
56940e58c0181ddb2e55a144c3dd0964	0.0	9.0	71.0	221.0	311.0
7e935cf82e23c28f7ef97f04525dad6f	0.0	8.0	60.0	226.0	316.0
df3062e41fb990ee5161c7065421bcd3	0.0	7.0	71.0	220.0	306.0
46aa87973de9196aa338345b5161cf82	0.0	0.0	67.0	211.0	315.0
253ef2911ef9a24cb7679cd67ce752b9	0.0	0.0	67.0	213.0	305.0
df294c7f1bcdf5dac5812fef1e729560	0.0	0.0	52.0	219.0	312.0
38b755beaad6e5cd4c196882adbd4314	0.0	0.0	71.0	209.0	301.0
df5a9043038c6ec6ebb01afaf8113d6e	0.0	0.0	58.0	226.0	297.0
5ac414a9ea2401ccd72dca45298d6d47	0.0	0.0	56.0	213.0	311.0
bb7a352fe17449b95269acdda9e52433	26.0	84.0	209.0	136.0	123.0
7f47534c2e85c3030b990a55f9e4eddf	24.0	77.0	196.0	129.0	145.0
3cf411ac9158f4bd14b94894b9f156ae	0.0	0.0	64.0	218.0	283.0
2a58f90f48428be66a35faa1081318c7	0.0	0.0	57.0	215.0	284.0
97cb53e392ef7414f46c05610ac9a977	0.0	5.0	57.0	205.0	288.0
c5180c2e806a791f5f86f7980bba5f3a	25.0	84.0	190.0	129.0	125.0
9b23053de8f4269fe6b5ce286dfbef3c	94.0	139.0	94.0	78.0	45.0
7aa02d97480ac4137dbccc1438f3c540	0.0	83.0	22.0	17.0	48.0
2236208ba53fadeb250ea4c2234fcc60	23.0	49.0	34.0	27.0	12.0
66d1ea29464e2cd44812a97c65d1041a	0.0	74.0	0.0	29.0	34.0
bff85742e6fb1af841b02ad59d487faa	29.0	48.0	32.0	27.0	0.0
a527c0ed08319af5e53e09d0c5eff900	0.0	68.0	34.0	0.0	33.0
af6f17bcbb898a11cab250fa8306d620	20.0	43.0	41.0	22.0	0.0
5e1b74f7cd80c3ae3447689da2075198	0.0	0.0	0.0	0.0	122.0
2887a1d2b82f2c0d2af3719653cab487	21.0	32.0	40.0	27.0	0.0
d6ba8a53fd7c5176c412b344ad838b47	23.0	29.0	30.0	24.0	10.0
66d5d9f8947998d5f49d929f0ad8013b	0.0	0.0	61.0	28.0	27.0
1aa4547aa5f0f0d5d198f5354350ff6b	16.0	32.0	33.0	25.0	0.0
9a7d378cc32cf2f1f0e7711cc31778d0	22.0	44.0	21.0	15.0	0.0
025b3aa69aaaed4711317753a9125e9c	45.0	0.0	0.0	56.0	0.0
1e8c2771a1fe3dce1febfd8502d08550	0.0	40.0	29.0	30.0	0.0
7098f196e21d2c74bc0abdf916befb9a	54.0	17.0	0.0	22.0	0.0
ff1c096f8ae3e5c6a8720980cb727d5b	0.0	87.0	0.0	0.0	0.0
379db11ef35f495703e9f9772f9332ab	0.0	0.0	57.0	0.0	29.0
6c2d19b1f93bb05af4652da117fab03a	0.0	0.0	62.0	0.0	21.0
b6181754e235bdbb1d792c568a85c2bd	0.0	10.0	10.0	24.0	22.0
a2384fb19ec710984135aecd427794a5	0.0	0.0	0.0	0.0	52.0
fa6b3dfe58be4ac05849070576f9dcbc	22.0	12.0	15.0	0.0	0.0
63331571011d0c5d564b93cf586fd64b	0.0	38.0	0.0	0.0	0.0
c5ccea21b43ffc03a1ab4d769be69f09	26.0	0.0	0.0	9.0	0.0
c9673a35b3638b496d86b4736e998c70	0.0	0.0	0.0	0.0	35.0
dfafcc180c2426d87441caedb691fe43	0.0	3.0	0.0	0.0	28.0
29c834ec069e8b09249a6fd70b4e7dbc	0.0	0.0	0.0	0.0	24.0
0a0814f61d925c35779af80a2bb86879	0.0	7.0	8.0	6.0	0.0
0fd648d0474e58c3be04b231e1e7247c	0.0	0.0	6.0	6.0	9.0
2e28ae8d46246f8a805855679ba8e3e9	0.0	0.0	0.0	21.0	0.0
9e39040cb4848f8cb9ace356d44be959	0.0	0.0	0.0	0.0	16.0
c3a3a503752209bc052b3995236b079f	0.0	0.0	0.0	0.0	16.0
03b3055d2b359aadaed38192cf14d7b7	0.0	0.0	0.0	0.0	15.0
8dcb73f7b68469048866ed0a102ca8ae	0.0	5.0	0.0	8.0	0.0
8124cdacda3b46f3e1ad5f33d983fdcd	0.0	12.0	0.0	0.0	0.0
fed30d6b474008c8c2cd39c47126f7b9	0.0	9.0	0.0	0.0	0.0
44eb603ac11f6bad4a83878080a29a69	0.0	5.0	3.0	0.0	0.0
f75f2cdd29ab1d08a7569f16014e4365	0.0	0.0	4.0	4.0	0.0
842d5b7af0a0756286744e4680d081a4	0.0	0.0	0.0	0.0	8.0
fd4b2e675786c0fa27565745bf3d8468	0.0	3.0	4.0	0.0	0.0
6251bd9ebf43fae466939ab366f6e547	0.0	6.0	0.0	0.0	0.0
7969a9432dc24004d0bc276f968ab033	0.0	0.0	6.0	0.0	0.0
06419b4ffeec12dab87f7c15910ac5e8	0.0	5.0	0.0	0.0	0.0
39a688974ef42104059262c9fee17f2e	0.0	0.0	0.0	5.0	0.0
5bb305982ceb9fe954d1d498a22a4e2e	0.0	0.0	4.0	0.0	0.0
3c0d401a9b458ea7cff71ef115667cf4	0.0	0.0	0.0	4.0	0.0
52ba52e30f9d5544bdace0dc6dd18956	0.0	3.0	0.0	0.0	0.0
4ab45d9e38980e21e1aa0b2a3b62fef5	0.0	0.0	3.0	0.0	0.0
e9398bc0ad9626bc4742c93fd0363bac	0.0	2.0	0.0	0.0	0.0
368b283250885a211f8454f18f5082e8	0.0	2.0	0.0	0.0	0.0
e1c900e963bc7177edcfba51af352d9f	0.0	0.0	2.0	0.0	0.0
9df251784dde31e05f02b2ee1029d71c	0.0	0.0	2.0	0.0	0.0
