# Constructed from biom file
#OTU ID	vagimock00S01	vagimock01S01	vagimock02S01	vagimock03S01	vagimock04S01
e38dbf9874a8606f5a7535bf6d69ddbd	1423.0	1231.0	1045.0	594.0	313.0
47653e5a028fc77e2a4de2e93686297a	745.0	649.0	535.0	334.0	190.0
44a31131a3cc6c764001c53438df253d	732.0	659.0	552.0	317.0	178.0
5806497ca393a02020b13dcd1eeb8edb	725.0	652.0	553.0	329.0	168.0
6651a0cfd63608526ff681c36f4ae169	717.0	629.0	519.0	331.0	199.0
eb61c0b59ca84f8c1278bb1ee210cf74	715.0	642.0	533.0	303.0	166.0
67ca3e4d5f11c2a63f6cecb2488535f5	710.0	605.0	518.0	320.0	179.0
e709d43f5761c61ef1d556a5bf430520	711.0	624.0	525.0	305.0	165.0
f8462b0c96e3e786b36110a06ede4e1c	721.0	630.0	503.0	307.0	165.0
d59eedf79dfaa75317d4cd9f04016638	694.0	615.0	509.0	307.0	177.0
2d2e4cef2953f25ae7e5f2c0ddf9ec82	681.0	585.0	499.0	306.0	168.0
b27484cd9bc23237d55fdd84948ab217	96.0	313.0	731.0	533.0	0.0
39c91b89342324398c6c167ba28ec82f	0.0	0.0	295.0	1091.0	0.0
158f106f4a2db86bc89e33a0ce2b1336	0.0	13.0	117.0	405.0	538.0
2c0bff2fc70c852d87e63aef09c0df84	0.0	0.0	0.0	0.0	1045.0
b8d67821898d66d8218aea11760b8eae	0.0	35.0	101.0	392.0	503.0
97ea276a4ff09cc848a0e0379709d8e5	0.0	8.0	112.0	382.0	506.0
f14e55c95be6ce6dfc2dc55487faeeac	0.0	11.0	110.0	376.0	505.0
52b04c33ddea00aa55e0d736bb2bc062	0.0	10.0	95.0	377.0	519.0
fefe019299a6170061b84b2b5317ff05	0.0	8.0	118.0	361.0	507.0
531fff354a79ae8fc58f998396aaef3a	0.0	24.0	100.0	368.0	496.0
15c12a51ecdadfbf719179586bc61e36	0.0	14.0	98.0	346.0	526.0
74317a29fa72730b7462817df9f5665f	0.0	10.0	101.0	372.0	499.0
e61fd2dcc59d9e51d584bdb756ea9802	0.0	455.0	130.0	137.0	255.0
af624638b48b99ae334a8ef5b15fe185	34.0	107.0	227.0	156.0	179.0
dcedc635de4eba2f6c9a9ff7b7b142a3	0.0	0.0	0.0	0.0	477.0
906161c29e457f2d46d326f8a8c50a01	86.0	0.0	132.0	88.0	42.0
6cc0652a8d98ec7b03dec636001daad8	0.0	0.0	0.0	0.0	317.0
df37b2aaf5d3c48df8cbacc1818d5cc2	52.0	97.0	66.0	54.0	20.0
06301d58210ee0baac619e97d121aa38	51.0	93.0	66.0	60.0	18.0
1163b9f94a220b8064f8b2ce93839d69	46.0	94.0	55.0	44.0	14.0
05565ca43f6a84c2b19432a1008006af	71.0	21.0	40.0	48.0	44.0
7efa8c6307599d817833edca7216b42c	68.0	21.0	45.0	30.0	52.0
dbd211054711903e7f3fde012d1deb9e	0.0	0.0	0.0	0.0	155.0
fb045c452d7a2114b939d72f82f9af6c	0.0	148.0	0.0	0.0	0.0
d2aac02889f091eb2f81a05b3df09847	0.0	0.0	96.0	0.0	40.0
26b99a7d950cca868e5ad445cde8e2b8	0.0	0.0	0.0	0.0	122.0
382d6df074a398e7e979979d49dc2aea	0.0	12.0	11.0	25.0	22.0
de7640e39ab5b7f2f16f3f9d3f103cbc	0.0	0.0	0.0	0.0	69.0
2a12d512dc6a41c53e8acad16456c16d	20.0	12.0	0.0	0.0	30.0
9067a5a716f811d611999b8f2b2a0d8c	0.0	0.0	7.0	27.0	25.0
d9199f913101f7986444675ad8acde4a	40.0	0.0	18.0	0.0	0.0
6df819981b466662de359b08a949f7f1	0.0	0.0	0.0	0.0	42.0
954d7e7e67728ab27a0ec483c690e899	0.0	3.0	0.0	0.0	28.0
8514f6c12d565c3fac711c375e007f14	0.0	7.0	8.0	7.0	0.0
e31b5f605bf2342b7e5b729f7432c7eb	0.0	12.0	6.0	0.0	0.0
900fb623d74d267b40769efd600fa4c3	0.0	0.0	0.0	12.0	0.0
e05e9ce9b60bdf7edca2d3c1a1957983	0.0	11.0	0.0	0.0	0.0
bbd7fab5b09b01039ffbd9a6600f2c45	0.0	7.0	3.0	0.0	0.0
f57f04f6e7e4f2bb284333d68b0b7acb	0.0	0.0	0.0	9.0	0.0
094e6d61f3682e6932954d6bf2cbf5af	0.0	0.0	0.0	8.0	0.0
579495d13501d66e8aabf27c2b466359	0.0	3.0	4.0	0.0	0.0
c495c2b6dbac5d82cd870567f7785e70	0.0	5.0	0.0	0.0	0.0
176ce808c5753978f64c73786e63d5d3	0.0	5.0	0.0	0.0	0.0
5e0ad22c0096809741b735aa8af5fc50	0.0	5.0	0.0	0.0	0.0
88f0023f7a200b81b637675b13d6f5ab	0.0	0.0	0.0	5.0	0.0
fdb7e496e6772eb2ef173cc525bb2fe2	0.0	4.0	0.0	0.0	0.0
e1d9ece9119fc6cd3c9f2bf996b17406	0.0	2.0	2.0	0.0	0.0
d9078704085b5a0ba122decc622b1ece	0.0	2.0	2.0	0.0	0.0
0b28e5049200c34316cf7539526b63d6	0.0	0.0	4.0	0.0	0.0
296a716a5c1875c89d24beabf06e8aee	0.0	0.0	4.0	0.0	0.0
75069e2b154ce016a287ec1fefe49eed	0.0	0.0	0.0	4.0	0.0
788c3f5af5ed823cd7146a48f82a11ba	0.0	2.0	0.0	0.0	0.0
29a3ecffa6bc61879b1d8ffae97c22ce	0.0	2.0	0.0	0.0	0.0
a5860fd6bfd0457418b9d11534736943	0.0	2.0	0.0	0.0	0.0
