ID	vagimock00	vagimock01	vagimock02	vagimock03	vagimock04
Y16329	570.0	490.0	398.0	248.0	135.0
AEPX01000015.105.1663	534.0	479.0	401.0	236.0	136.0
851925	562.0	485.0	407.0	248.0	141.0
130864	553.0	474.0	393.0	231.0	128.0
235591	545.0	485.0	396.0	239.0	136.0
955213	514.0	452.0	375.0	231.0	133.0
1033552	554.0	488.0	415.0	232.0	120.0
HE573916.1.1560	538.0	465.0	396.0	252.0	149.0
133599	523.0	451.0	384.0	222.0	114.0
236308	525.0	459.0	389.0	245.0	128.0
134019	564.0	510.0	431.0	235.0	136.0
133075	566.0	499.0	416.0	241.0	130.0
253954	554.0	475.0	399.0	247.0	143.0
254797	535.0	468.0	385.0	223.0	134.0
129798	566.0	514.0	436.0	260.0	130.0
137340	535.0	479.0	404.0	239.0	129.0
956654	548.0	478.0	384.0	236.0	128.0
DQ317605.1.1526	13.0	16.0	21.0	13.0	6.0
AB976555.1.1487	13.0	25.0	16.0	15.0	2.0
KY658480.1.1210	12.0	24.0	23.0	20.0	1.0
NR_117573	17.0	22.0	16.0	14.0	6.0
AB976552.1.1506	13.0	25.0	27.0	17.0	2.0
AB976554.1.1526	14.0	21.0	13.0	6.0	4.0
MH111675.1.1448	12.0	31.0	17.0	19.0	7.0
AF243173.1.1518	11.0	22.0	25.0	15.0	5.0
CP021427.1299023.1300607	16.0	31.0	15.0	15.0	2.0
CP006803.1621536.1623115	15.0	31.0	22.0	21.0	5.0
JQ805637.1.1609	7.0	20.0	22.0	17.0	8.0
AB008209.1.1566	12.0	27.0	16.0	13.0	6.0
KX570900.1.1529	11.0	26.0	17.0	14.0	2.0
KF738665.1.1553	13.0	19.0	11.0	16.0	3.0
CP006803.1850533.1852112	14.0	17.0	14.0	13.0	5.0
AB976553.1.1512	8.0	22.0	16.0	9.0	4.0
AB976551.1.1505	17.0	25.0	18.0	5.0	4.0
AB976550.1.1518	9.0	25.0	13.0	16.0	4.0
